statistic_yyy,according,site_id,birth_order,birth_sex,mother_age,birth_count
統計年度,按照別,區域別,胎次,出生者性別,生母年齡,嬰兒出生數
106,按登記日期分,新北市板橋區,1胎,男,未滿15歲,0
106,按登記日期分,新北市板橋區,1胎,男,15～19歲,15
106,按登記日期分,新北市板橋區,1胎,男,20～24歲,101
106,按登記日期分,新北市板橋區,1胎,男,25～29歲,284
106,按登記日期分,新北市板橋區,1胎,男,30～34歲,498
106,按登記日期分,新北市板橋區,1胎,男,35～39歲,311
106,按登記日期分,新北市板橋區,1胎,男,40～44歲,33
106,按登記日期分,新北市板橋區,1胎,男,45～49歲,2
106,按登記日期分,新北市板橋區,1胎,男,50歲以上,0
106,按登記日期分,新北市板橋區,2胎,男,未滿15歲,0
106,按登記日期分,新北市板橋區,2胎,男,15～19歲,4
106,按登記日期分,新北市板橋區,2胎,男,20～24歲,36
106,按登記日期分,新北市板橋區,2胎,男,25～29歲,149
106,按登記日期分,新北市板橋區,2胎,男,30～34歲,348
106,按登記日期分,新北市板橋區,2胎,男,35～39歲,294
106,按登記日期分,新北市板橋區,2胎,男,40～44歲,45
106,按登記日期分,新北市板橋區,2胎,男,45～49歲,1
106,按登記日期分,新北市板橋區,2胎,男,50歲以上,0
106,按登記日期分,新北市板橋區,3胎,男,未滿15歲,0
106,按登記日期分,新北市板橋區,3胎,男,15～19歲,1
106,按登記日期分,新北市板橋區,3胎,男,20～24歲,3
106,按登記日期分,新北市板橋區,3胎,男,25～29歲,11
106,按登記日期分,新北市板橋區,3胎,男,30～34歲,61
106,按登記日期分,新北市板橋區,3胎,男,35～39歲,76
106,按登記日期分,新北市板橋區,3胎,男,40～44歲,21
106,按登記日期分,新北市板橋區,3胎,男,45～49歲,2
106,按登記日期分,新北市板橋區,3胎,男,50歲以上,0
106,按登記日期分,新北市板橋區,4胎,男,未滿15歲,0
106,按登記日期分,新北市板橋區,4胎,男,15～19歲,1
106,按登記日期分,新北市板橋區,4胎,男,20～24歲,2
106,按登記日期分,新北市板橋區,4胎,男,25～29歲,4
106,按登記日期分,新北市板橋區,4胎,男,30～34歲,6
106,按登記日期分,新北市板橋區,4胎,男,35～39歲,16
106,按登記日期分,新北市板橋區,4胎,男,40～44歲,5
106,按登記日期分,新北市板橋區,4胎,男,45～49歲,0
106,按登記日期分,新北市板橋區,4胎,男,50歲以上,0
106,按登記日期分,新北市板橋區,5胎,男,未滿15歲,0
106,按登記日期分,新北市板橋區,5胎,男,15～19歲,0
106,按登記日期分,新北市板橋區,5胎,男,20～24歲,1
106,按登記日期分,新北市板橋區,5胎,男,25～29歲,0
106,按登記日期分,新北市板橋區,5胎,男,30～34歲,0
106,按登記日期分,新北市板橋區,5胎,男,35～39歲,3
106,按登記日期分,新北市板橋區,5胎,男,40～44歲,0
106,按登記日期分,新北市板橋區,5胎,男,45～49歲,0
106,按登記日期分,新北市板橋區,5胎,男,50歲以上,0
106,按登記日期分,新北市板橋區,6胎,男,未滿15歲,0
106,按登記日期分,新北市板橋區,6胎,男,15～19歲,0
106,按登記日期分,新北市板橋區,6胎,男,20～24歲,0
106,按登記日期分,新北市板橋區,6胎,男,25～29歲,0
106,按登記日期分,新北市板橋區,6胎,男,30～34歲,1
106,按登記日期分,新北市板橋區,6胎,男,35～39歲,0
106,按登記日期分,新北市板橋區,6胎,男,40～44歲,0
106,按登記日期分,新北市板橋區,6胎,男,45～49歲,0
106,按登記日期分,新北市板橋區,6胎,男,50歲以上,0
106,按登記日期分,新北市板橋區,7胎,男,未滿15歲,0
106,按登記日期分,新北市板橋區,7胎,男,15～19歲,0
106,按登記日期分,新北市板橋區,7胎,男,20～24歲,0
106,按登記日期分,新北市板橋區,7胎,男,25～29歲,0
106,按登記日期分,新北市板橋區,7胎,男,30～34歲,1
106,按登記日期分,新北市板橋區,7胎,男,35～39歲,0
106,按登記日期分,新北市板橋區,7胎,男,40～44歲,0
106,按登記日期分,新北市板橋區,7胎,男,45～49歲,0
106,按登記日期分,新北市板橋區,7胎,男,50歲以上,0
106,按登記日期分,新北市板橋區,8胎,男,未滿15歲,0
106,按登記日期分,新北市板橋區,8胎,男,15～19歲,0
106,按登記日期分,新北市板橋區,8胎,男,20～24歲,0
106,按登記日期分,新北市板橋區,8胎,男,25～29歲,0
106,按登記日期分,新北市板橋區,8胎,男,30～34歲,1
106,按登記日期分,新北市板橋區,8胎,男,35～39歲,0
106,按登記日期分,新北市板橋區,8胎,男,40～44歲,0
106,按登記日期分,新北市板橋區,8胎,男,45～49歲,0
106,按登記日期分,新北市板橋區,8胎,男,50歲以上,0
106,按登記日期分,新北市板橋區,9胎以上,男,未滿15歲,0
106,按登記日期分,新北市板橋區,9胎以上,男,15～19歲,0
106,按登記日期分,新北市板橋區,9胎以上,男,20～24歲,0
106,按登記日期分,新北市板橋區,9胎以上,男,25～29歲,0
106,按登記日期分,新北市板橋區,9胎以上,男,30～34歲,0
106,按登記日期分,新北市板橋區,9胎以上,男,35～39歲,0
106,按登記日期分,新北市板橋區,9胎以上,男,40～44歲,0
106,按登記日期分,新北市板橋區,9胎以上,男,45～49歲,0
106,按登記日期分,新北市板橋區,9胎以上,男,50歲以上,0
106,按登記日期分,新北市板橋區,1胎,女,未滿15歲,0
106,按登記日期分,新北市板橋區,1胎,女,15～19歲,24
106,按登記日期分,新北市板橋區,1胎,女,20～24歲,106
106,按登記日期分,新北市板橋區,1胎,女,25～29歲,297
106,按登記日期分,新北市板橋區,1胎,女,30～34歲,475
106,按登記日期分,新北市板橋區,1胎,女,35～39歲,291
106,按登記日期分,新北市板橋區,1胎,女,40～44歲,35
106,按登記日期分,新北市板橋區,1胎,女,45～49歲,1
106,按登記日期分,新北市板橋區,1胎,女,50歲以上,0
106,按登記日期分,新北市板橋區,2胎,女,未滿15歲,0
106,按登記日期分,新北市板橋區,2胎,女,15～19歲,0
106,按登記日期分,新北市板橋區,2胎,女,20～24歲,23
106,按登記日期分,新北市板橋區,2胎,女,25～29歲,136
106,按登記日期分,新北市板橋區,2胎,女,30～34歲,321
106,按登記日期分,新北市板橋區,2胎,女,35～39歲,265
106,按登記日期分,新北市板橋區,2胎,女,40～44歲,41
106,按登記日期分,新北市板橋區,2胎,女,45～49歲,0
106,按登記日期分,新北市板橋區,2胎,女,50歲以上,0
106,按登記日期分,新北市板橋區,3胎,女,未滿15歲,0
106,按登記日期分,新北市板橋區,3胎,女,15～19歲,0
106,按登記日期分,新北市板橋區,3胎,女,20～24歲,4
106,按登記日期分,新北市板橋區,3胎,女,25～29歲,19
106,按登記日期分,新北市板橋區,3胎,女,30～34歲,46
106,按登記日期分,新北市板橋區,3胎,女,35～39歲,61
106,按登記日期分,新北市板橋區,3胎,女,40～44歲,17
106,按登記日期分,新北市板橋區,3胎,女,45～49歲,1
106,按登記日期分,新北市板橋區,3胎,女,50歲以上,0
106,按登記日期分,新北市板橋區,4胎,女,未滿15歲,0
106,按登記日期分,新北市板橋區,4胎,女,15～19歲,0
106,按登記日期分,新北市板橋區,4胎,女,20～24歲,0
106,按登記日期分,新北市板橋區,4胎,女,25～29歲,2
106,按登記日期分,新北市板橋區,4胎,女,30～34歲,5
106,按登記日期分,新北市板橋區,4胎,女,35～39歲,11
106,按登記日期分,新北市板橋區,4胎,女,40～44歲,4
106,按登記日期分,新北市板橋區,4胎,女,45～49歲,0
106,按登記日期分,新北市板橋區,4胎,女,50歲以上,0
106,按登記日期分,新北市板橋區,5胎,女,未滿15歲,0
106,按登記日期分,新北市板橋區,5胎,女,15～19歲,0
106,按登記日期分,新北市板橋區,5胎,女,20～24歲,0
106,按登記日期分,新北市板橋區,5胎,女,25～29歲,0
106,按登記日期分,新北市板橋區,5胎,女,30～34歲,1
106,按登記日期分,新北市板橋區,5胎,女,35～39歲,4
106,按登記日期分,新北市板橋區,5胎,女,40～44歲,1
106,按登記日期分,新北市板橋區,5胎,女,45～49歲,0
106,按登記日期分,新北市板橋區,5胎,女,50歲以上,0
106,按登記日期分,新北市板橋區,6胎,女,未滿15歲,0
106,按登記日期分,新北市板橋區,6胎,女,15～19歲,0
106,按登記日期分,新北市板橋區,6胎,女,20～24歲,0
106,按登記日期分,新北市板橋區,6胎,女,25～29歲,0
106,按登記日期分,新北市板橋區,6胎,女,30～34歲,0
106,按登記日期分,新北市板橋區,6胎,女,35～39歲,0
106,按登記日期分,新北市板橋區,6胎,女,40～44歲,2
106,按登記日期分,新北市板橋區,6胎,女,45～49歲,0
106,按登記日期分,新北市板橋區,6胎,女,50歲以上,0
106,按登記日期分,新北市板橋區,7胎,女,未滿15歲,0
106,按登記日期分,新北市板橋區,7胎,女,15～19歲,0
106,按登記日期分,新北市板橋區,7胎,女,20～24歲,0
106,按登記日期分,新北市板橋區,7胎,女,25～29歲,0
106,按登記日期分,新北市板橋區,7胎,女,30～34歲,0
106,按登記日期分,新北市板橋區,7胎,女,35～39歲,0
106,按登記日期分,新北市板橋區,7胎,女,40～44歲,1
106,按登記日期分,新北市板橋區,7胎,女,45～49歲,0
106,按登記日期分,新北市板橋區,7胎,女,50歲以上,0
106,按登記日期分,新北市板橋區,8胎,女,未滿15歲,0
106,按登記日期分,新北市板橋區,8胎,女,15～19歲,0
106,按登記日期分,新北市板橋區,8胎,女,20～24歲,0
106,按登記日期分,新北市板橋區,8胎,女,25～29歲,0
106,按登記日期分,新北市板橋區,8胎,女,30～34歲,0
106,按登記日期分,新北市板橋區,8胎,女,35～39歲,0
106,按登記日期分,新北市板橋區,8胎,女,40～44歲,0
106,按登記日期分,新北市板橋區,8胎,女,45～49歲,0
106,按登記日期分,新北市板橋區,8胎,女,50歲以上,0
106,按登記日期分,新北市板橋區,9胎以上,女,未滿15歲,0
106,按登記日期分,新北市板橋區,9胎以上,女,15～19歲,0
106,按登記日期分,新北市板橋區,9胎以上,女,20～24歲,0
106,按登記日期分,新北市板橋區,9胎以上,女,25～29歲,0
106,按登記日期分,新北市板橋區,9胎以上,女,30～34歲,0
106,按登記日期分,新北市板橋區,9胎以上,女,35～39歲,0
106,按登記日期分,新北市板橋區,9胎以上,女,40～44歲,0
106,按登記日期分,新北市板橋區,9胎以上,女,45～49歲,0
106,按登記日期分,新北市板橋區,9胎以上,女,50歲以上,0
106,按登記日期分,新北市三重區,1胎,男,未滿15歲,0
106,按登記日期分,新北市三重區,1胎,男,15～19歲,11
106,按登記日期分,新北市三重區,1胎,男,20～24歲,78
106,按登記日期分,新北市三重區,1胎,男,25～29歲,215
106,按登記日期分,新北市三重區,1胎,男,30～34歲,335
106,按登記日期分,新北市三重區,1胎,男,35～39歲,164
106,按登記日期分,新北市三重區,1胎,男,40～44歲,30
106,按登記日期分,新北市三重區,1胎,男,45～49歲,0
106,按登記日期分,新北市三重區,1胎,男,50歲以上,0
106,按登記日期分,新北市三重區,2胎,男,未滿15歲,0
106,按登記日期分,新北市三重區,2胎,男,15～19歲,1
106,按登記日期分,新北市三重區,2胎,男,20～24歲,25
106,按登記日期分,新北市三重區,2胎,男,25～29歲,109
106,按登記日期分,新北市三重區,2胎,男,30～34歲,241
106,按登記日期分,新北市三重區,2胎,男,35～39歲,177
106,按登記日期分,新北市三重區,2胎,男,40～44歲,35
106,按登記日期分,新北市三重區,2胎,男,45～49歲,1
106,按登記日期分,新北市三重區,2胎,男,50歲以上,0
